target,class_name,feature,mean_abs_shap,rank,importance_kind,note
model_key,gemini-flash-latest,text_punctuation_density,0.060966,1,shap,
model_key,gemini-flash-latest,text_punctuation_count,0.04610400000000002,2,shap,
model_key,gemini-flash-latest,text_unique_word_count,0.033797499999999994,3,shap,
model_key,gemini-flash-latest,text_repeated_bigram_ratio,0.030642999999999997,4,shap,
model_key,gemini-flash-latest,text_repeated_trigram_ratio,0.026237124999999993,5,shap,
model_key,gemini-flash-latest,text_entropy,0.026119125000000003,6,shap,
model_key,gemini-flash-latest,text_hapax_ratio,0.01816712499999998,7,shap,
model_key,gemini-flash-latest,text_newline_count,0.017078875000000004,8,shap,
model_key,gemini-flash-latest,source_response_length,0.01455312499999999,9,shap,
model_key,gemini-flash-latest,text_type_token_ratio,0.014544000000000033,10,shap,
model_key,gemini-flash-latest,text_char_count,0.013503249999999977,11,shap,
model_key,gemini-flash-latest,text_repetition_rate,0.013434999999999975,12,shap,
model_key,gemini-flash-latest,text_word_count,0.012294124999999979,13,shap,
model_key,gemini-flash-latest,text_paragraph_count,0.01188250000000001,14,shap,
model_key,gemini-flash-latest,text_avg_word_length,0.009494500000000001,15,shap,
model_key,gemini-flash-latest,text_avg_word_frequency,0.009458250000000003,16,shap,
model_key,gemini-flash-latest,text_sentence_count,0.009452249999999992,17,shap,
model_key,gemini-flash-latest,text_list_marker_count,0.009114125000000018,18,shap,
model_key,gemini-flash-latest,text_colon_density,0.007233749999999997,19,shap,
model_key,gemini-flash-latest,text_comma_density,0.007073625000000009,20,shap,
model_key,gemini-flash-latest,text_hedge_word_count,0.005515375000000018,21,shap,
model_key,gemini-flash-latest,text_first_person_pronoun_density,0.005507125000000019,22,shap,
model_key,gemini-flash-latest,text_semicolon_density,0.005492124999999999,23,shap,
model_key,gemini-flash-latest,text_max_word_frequency,0.005418749999999994,24,shap,
model_key,gemini-flash-latest,text_negation_word_count,0.004939999999999984,25,shap,
model_key,gemini-flash-latest,text_hedge_word_density,0.004535999999999997,26,shap,
model_key,gemini-flash-latest,text_first_person_pronoun_count,0.004496500000000011,27,shap,
model_key,gemini-flash-latest,text_avg_sentence_chars,0.004337750000000019,28,shap,
model_key,gemini-flash-latest,text_avg_sentence_words,0.003966124999999999,29,shap,
model_key,gemini-flash-latest,text_digit_density,0.0032755000000000084,30,shap,
model_key,gemini-flash-latest,text_negation_word_density,0.002736374999999962,31,shap,
model_key,gemini-flash-latest,text_second_person_pronoun_count,0.002444749999999991,32,shap,
model_key,gemini-flash-latest,text_exclamation_mark_density,0.002089500000000002,33,shap,
model_key,gemini-flash-latest,text_second_person_pronoun_density,0.0019555000000000045,34,shap,
model_key,gemini-flash-latest,text_uppercase_word_ratio,0.000658875000000013,35,shap,
model_key,gemini-flash-latest,text_code_fence_count,7.524999999999944e-05,36,shap,
model_key,llama-3.1-8b-groq,text_hapax_ratio,0.04893074999999999,1,shap,
model_key,llama-3.1-8b-groq,text_unique_word_count,0.03826912500000001,2,shap,
model_key,llama-3.1-8b-groq,text_entropy,0.03457437500000004,3,shap,
model_key,llama-3.1-8b-groq,text_type_token_ratio,0.033050500000000003,4,shap,
model_key,llama-3.1-8b-groq,text_repetition_rate,0.03191974999999998,5,shap,
model_key,llama-3.1-8b-groq,text_punctuation_density,0.024261750000000006,6,shap,
model_key,llama-3.1-8b-groq,text_repeated_bigram_ratio,0.023981625000000006,7,shap,
model_key,llama-3.1-8b-groq,text_avg_word_frequency,0.021900625000000003,8,shap,
model_key,llama-3.1-8b-groq,text_word_count,0.017740374999999982,9,shap,
model_key,llama-3.1-8b-groq,text_char_count,0.017627625,10,shap,
model_key,llama-3.1-8b-groq,source_response_length,0.017301000000000004,11,shap,
model_key,llama-3.1-8b-groq,text_repeated_trigram_ratio,0.015144125000000003,12,shap,
model_key,llama-3.1-8b-groq,text_colon_density,0.011898375000000024,13,shap,
model_key,llama-3.1-8b-groq,text_punctuation_count,0.01092937499999998,14,shap,
model_key,llama-3.1-8b-groq,text_paragraph_count,0.008693374999999995,15,shap,
model_key,llama-3.1-8b-groq,text_first_person_pronoun_density,0.00734625000000001,16,shap,
model_key,llama-3.1-8b-groq,text_sentence_count,0.007267125000000013,17,shap,
model_key,llama-3.1-8b-groq,text_comma_density,0.006642375000000017,18,shap,
model_key,llama-3.1-8b-groq,text_newline_count,0.00645962500000002,19,shap,
model_key,llama-3.1-8b-groq,text_list_marker_count,0.006223999999999999,20,shap,
model_key,llama-3.1-8b-groq,text_semicolon_density,0.006053749999999992,21,shap,
model_key,llama-3.1-8b-groq,text_avg_sentence_chars,0.0060231249999999825,22,shap,
model_key,llama-3.1-8b-groq,text_negation_word_density,0.005634249999999999,23,shap,
model_key,llama-3.1-8b-groq,text_max_word_frequency,0.0053327499999999955,24,shap,
model_key,llama-3.1-8b-groq,text_avg_sentence_words,0.004809625000000001,25,shap,
model_key,llama-3.1-8b-groq,text_avg_word_length,0.004308874999999985,26,shap,
model_key,llama-3.1-8b-groq,text_digit_density,0.004042250000000016,27,shap,
model_key,llama-3.1-8b-groq,text_negation_word_count,0.003775625000000002,28,shap,
model_key,llama-3.1-8b-groq,text_hedge_word_count,0.0028976249999999944,29,shap,
model_key,llama-3.1-8b-groq,text_first_person_pronoun_count,0.0028116249999999873,30,shap,
model_key,llama-3.1-8b-groq,text_hedge_word_density,0.002460624999999999,31,shap,
model_key,llama-3.1-8b-groq,text_uppercase_word_ratio,0.002223500000000017,32,shap,
model_key,llama-3.1-8b-groq,text_second_person_pronoun_count,0.0019188750000000108,33,shap,
model_key,llama-3.1-8b-groq,text_second_person_pronoun_density,0.001752375000000004,34,shap,
model_key,llama-3.1-8b-groq,text_exclamation_mark_density,0.0008071250000000037,35,shap,
model_key,llama-3.1-8b-groq,text_code_fence_count,2.624999999998809e-06,36,shap,
model_key,mistral-7b-hf,text_punctuation_density,0.05410499999999999,1,shap,
model_key,mistral-7b-hf,text_punctuation_count,0.04089225000000003,2,shap,
model_key,mistral-7b-hf,text_hapax_ratio,0.019021875000000014,3,shap,
model_key,mistral-7b-hf,text_type_token_ratio,0.017362625000000013,4,shap,
model_key,mistral-7b-hf,text_unique_word_count,0.015888124999999996,5,shap,
