source_avg_logprob,source_generated_tokens,source_perplexity,source_response_length,source_sum_logprob,text_avg_sentence_chars,text_avg_sentence_words,text_avg_word_frequency,text_avg_word_length,text_char_count,text_code_fence_count,text_colon_density,text_comma_density,text_digit_density,text_entropy,text_exclamation_mark_density,text_first_person_pronoun_count,text_first_person_pronoun_density,text_hapax_ratio,text_hedge_word_count,text_hedge_word_density,text_list_marker_count,text_markdown_bold_count,text_markdown_heading_count,text_max_word_frequency,text_negation_word_count,text_negation_word_density,text_newline_count,text_paragraph_count,text_punctuation_count,text_punctuation_density,text_question_mark_density,text_repeated_bigram_ratio,text_repeated_trigram_ratio,text_repetition_rate,text_second_person_pronoun_count,text_second_person_pronoun_density,text_semicolon_density,text_sentence_count,text_type_token_ratio,text_unique_word_count,text_uppercase_word_ratio,text_word_count
-0.1561415,0.0,1.1689919999999998,2367.0,-77.5851265,93.64,16.6,2.610062893081761,4.513253012048192,2381.0,0.0,0.0029399412011759767,0.009659806803863923,0.0020999580008399833,6.646960131101372,0.0,0.0,0.0,0.21204819277108433,4.0,0.00963855421686747,5.0,5.0,0.0,19.0,3.0,0.007228915662650603,14.0,6.0,83.0,0.03485930281394372,0.0,0.21256038647342995,0.08958837772397095,0.616867469879518,36.0,0.08674698795180723,0.0,25.0,0.38313253012048193,159.0,0.0,415.0
-0.129156,432.0,1.137867,2132.0,-55.795296,100.38095238095238,15.523809523809524,1.7814207650273224,5.380368098159509,2146.0,0.0,0.0032618825722274,0.008387698042870456,0.0027958993476234857,7.036884029613465,0.0,0.0,0.0,0.4049079754601227,5.0,0.015337423312883436,6.0,0.0,0.0,11.0,3.0,0.009202453987730062,14.0,8.0,49.0,0.022833178005591797,0.0,0.09230769230769231,0.024691358024691357,0.4386503067484663,16.0,0.049079754601226995,0.0,21.0,0.5613496932515337,183.0,0.0,326.0
-0.351613,2403.0,1.421358,12068.0,-844.925378,2412.4,217.8,1.0215759849906192,10.066115702479339,12071.0,0.0,8.284317786430287e-05,0.0003313727114572115,0.0009941181343716345,10.045161264424596,0.0,3.0,0.0027548209366391185,0.9595959595959596,1.0,0.0009182736455463728,0.0,0.0,0.0,3.0,1.0,0.0009182736455463728,3.0,2.0,18.0,0.0014911772015574517,0.0,0.0,0.0,0.02112029384756653,3.0,0.0027548209366391185,8.284317786430287e-05,5.0,0.9788797061524335,1066.0,0.0009182736455463728,1089.0
-0.1561415,0.0,1.1689919999999998,2032.0,-77.5851265,112.33333333333333,15.555555555555555,1.9444444444444444,5.964285714285714,2049.0,0.0,0.003416300634455832,0.012201073694485115,0.002440214738897023,6.65539074198471,0.0,5.0,0.017857142857142856,0.3464285714285714,0.0,0.0,9.0,5.0,0.0,18.0,2.0,0.007142857142857143,17.0,6.0,74.0,0.03611517813567594,0.0,0.2616487455197133,0.17985611510791366,0.48571428571428577,0.0,0.0,0.0,18.0,0.5142857142857142,144.0,0.0035714285714285713,280.0
-0.145555,638.0,1.156681,1539.0,-92.863956,80.05263157894737,11.578947368421053,1.4864864864864864,5.795454545454546,1551.0,0.0,0.0051579626047711154,0.009671179883945842,0.004513217279174726,6.969231120341031,0.0,2.0,0.00909090909090909,0.4863636363636364,0.0,0.0,7.0,0.0,0.0,6.0,6.0,0.02727272727272727,12.0,4.0,43.0,0.027724049000644745,0.0,0.0958904109589041,0.027522935779816515,0.32727272727272727,0.0,0.0,0.0,19.0,0.6727272727272727,148.0,0.0,220.0
-0.20149,909.0,1.223224,2446.0,-183.154263,93.15384615384616,13.115384615384615,2.0297619047619047,5.964809384164223,2457.0,0.0,0.003663003663003663,0.013431013431013432,0.003256003256003256,6.825157547398463,0.0,6.0,0.017595307917888565,0.3548387096774194,0.0,0.0,8.0,0.0,0.0,13.0,4.0,0.011730205278592375,11.0,3.0,71.0,0.028897028897028897,0.0,0.24411764705882352,0.1504424778761062,0.5073313782991202,0.0,0.0,0.0,26.0,0.49266862170087977,168.0,0.002932551319648094,341.0
-0.1561415,0.0,1.1689919999999998,2884.0,-77.5851265,81.57142857142857,13.2,2.566666666666667,4.9523809523809526,2911.0,0.0,0.004465819306080384,0.008244589488148402,0.0037787701820680177,6.742232948609553,0.0,1.0,0.0021645021645021645,0.24025974025974026,10.0,0.021645021645021644,18.0,10.0,0.0,22.0,7.0,0.015151515151515152,27.0,7.0,125.0,0.04294057025077293,0.0,0.21691973969631237,0.07173913043478261,0.6103896103896104,31.0,0.0670995670995671,0.0,35.0,0.38961038961038963,180.0,0.0021645021645021645,462.0
-0.138307,422.0,1.148328,1957.0,-58.365504,87.81818181818181,14.227272727272727,1.691891891891892,5.0702875399361025,1971.0,0.0,0.0035514967021816335,0.0091324200913242,0.0030441400304414,7.063133261960554,0.0,0.0,0.0,0.4472843450479233,3.0,0.009584664536741214,6.0,0.0,0.0,11.0,4.0,0.012779552715654952,14.0,8.0,52.0,0.026382546930492135,0.0,0.057692307692307696,0.012861736334405145,0.40894568690095845,5.0,0.01597444089456869,0.0,22.0,0.5910543130990416,185.0,0.019169329073482427,313.0
-0.334332,3072.0,1.397007,15269.0,-1027.068578,897.7058823529412,105.47058823529412,1.0749400479616307,7.35861684327942,15284.0,0.0,0.0018319811567652448,0.0018974090552211463,0.004579952891913112,10.624737769755978,6.542789845590159e-05,6.0,0.0033463469046291134,0.8851087562744004,3.0,0.0016731734523145567,3.0,3.0,0.0,22.0,2.0,0.0011154489682097045,22.0,9.0,272.0,0.017796388380005235,0.0,0.008370535714285714,0.0072585147962032385,0.06971556051310657,2.0,0.0011154489682097045,0.00013085579691180318,17.0,0.9302844394868934,1668.0,0.006692693809258227,1793.0
-0.1561415,0.0,1.1689919999999998,1716.0,-77.5851265,84.9,11.65,1.8203125,6.068669527896995,1725.0,0.0,0.004057971014492754,0.009855072463768115,0.0034782608695652175,6.543865768308135,0.0,2.0,0.008583690987124463,0.3776824034334764,0.0,0.0,6.0,6.0,0.0,12.0,2.0,0.008583690987124463,9.0,3.0,68.0,0.03942028985507246,0.0,0.1724137931034483,0.08658008658008658,0.45064377682403434,0.0,0.0,0.0,20.0,0.5493562231759657,128.0,0.0,233.0
