target,feature,importance,importance_kind
model_key,text_punctuation_density,0.07591552932031907,feature_importances
model_key,text_unique_word_count,0.056061782135105785,feature_importances
model_key,text_hapax_ratio,0.055924102318846876,feature_importances
model_key,text_punctuation_count,0.04977833714528928,feature_importances
model_key,text_entropy,0.049305577821946084,feature_importances
model_key,text_type_token_ratio,0.04718676483596795,feature_importances
model_key,text_repetition_rate,0.04533314660149547,feature_importances
model_key,text_repeated_bigram_ratio,0.044066625591296926,feature_importances
model_key,source_response_length,0.04067848714839654,feature_importances
model_key,text_char_count,0.03956711617480256,feature_importances
model_key,text_repeated_trigram_ratio,0.03599904589553957,feature_importances
model_key,text_word_count,0.03591947048500462,feature_importances
model_key,text_avg_word_frequency,0.032492669770473666,feature_importances
model_key,text_newline_count,0.029145597231916596,feature_importances
model_key,text_paragraph_count,0.028717538364549797,feature_importances
model_key,text_sentence_count,0.02750255216137045,feature_importances
model_key,text_comma_density,0.027365020532005003,feature_importances
model_key,text_avg_word_length,0.025554354267275148,feature_importances
model_key,text_colon_density,0.02449572369895106,feature_importances
model_key,text_first_person_pronoun_density,0.021226475373416914,feature_importances
model_key,text_avg_sentence_words,0.021022914658993124,feature_importances
model_key,text_avg_sentence_chars,0.02097346331203669,feature_importances
model_key,text_first_person_pronoun_count,0.018049236893444218,feature_importances
model_key,text_max_word_frequency,0.017722243818355722,feature_importances
model_key,text_list_marker_count,0.01753538029370229,feature_importances
model_key,text_negation_word_count,0.015685454184580196,feature_importances
model_key,text_semicolon_density,0.015269631101493432,feature_importances
model_key,text_negation_word_density,0.01459861859518651,feature_importances
model_key,text_hedge_word_count,0.012940589136175285,feature_importances
model_key,text_digit_density,0.01280428864679573,feature_importances
model_key,text_hedge_word_density,0.011417532156470596,feature_importances
model_key,text_second_person_pronoun_count,0.009221354539782602,feature_importances
model_key,text_second_person_pronoun_density,0.008652167206818578,feature_importances
model_key,text_uppercase_word_ratio,0.005514939959762669,feature_importances
model_key,text_exclamation_mark_density,0.005301636550686379,feature_importances
model_key,text_code_fence_count,0.001054632071746636,feature_importances
