target,feature,importance_mean,importance_std
model_key,text_punctuation_density,0.05036234115240662,0.00450764686718069
model_key,text_comma_density,0.020446502507659704,0.006130491501615165
model_key,text_avg_word_length,0.015831995725214477,0.004944220742361659
model_key,text_list_marker_count,0.013153276650765123,0.004047754401807597
model_key,text_punctuation_count,0.011860327847964003,0.006285047797752237
model_key,text_first_person_pronoun_count,0.010376134437719332,0.0034727056971624705
model_key,text_first_person_pronoun_density,0.00994470104791496,0.0046537666622309855
model_key,text_hapax_ratio,0.009935596126352253,0.00444857018656356
model_key,text_paragraph_count,0.008280271983221777,0.0035763059954239344
model_key,text_sentence_count,0.006914185492837688,0.004402558644439456
model_key,text_entropy,0.006638394750494814,0.004334060601218773
model_key,text_negation_word_count,0.0066318018218157635,0.0034396491230831165
model_key,text_avg_sentence_chars,0.006023170483755447,0.004440422829300625
model_key,text_newline_count,0.005971928500478185,0.0032574944276432334
model_key,text_negation_word_density,0.0053874093216549675,0.003722191940451252
model_key,text_colon_density,0.005374169608935364,0.004501704329572689
model_key,text_repeated_trigram_ratio,0.0052629963699248996,0.00466747579691212
model_key,text_hedge_word_density,0.005227917667148185,0.002642935590006184
model_key,text_hedge_word_count,0.005077435297115162,0.0038601448666548475
model_key,text_repeated_bigram_ratio,0.0048295301883187315,0.003589274371777099
model_key,text_digit_density,0.004605635092633553,0.004509846446308657
model_key,text_type_token_ratio,0.003213279518157064,0.0037900385572826197
model_key,text_avg_sentence_words,0.0026224799749805404,0.0033878219881513126
model_key,text_unique_word_count,0.002414320737108655,0.004251978404245295
model_key,text_second_person_pronoun_density,0.0021452531160004117,0.0028992015157168188
model_key,text_max_word_frequency,0.0016663173365364047,0.0030821302821144245
model_key,text_second_person_pronoun_count,0.0011843062178148235,0.0013794779186636027
model_key,text_avg_word_frequency,0.0008830584913338102,0.0034029471039883252
model_key,text_exclamation_mark_density,0.0006656542182061909,0.0016354433244326033
model_key,text_word_count,0.0005760291876013568,0.004689708055077916
model_key,text_repetition_rate,8.497789844486014e-05,0.004724994419786987
model_key,text_code_fence_count,0.0,0.0
model_key,source_response_length,-4.2065863604856536e-05,0.0037252723235674298
model_key,text_char_count,-0.00041405997876404755,0.0055814408790199645
model_key,text_uppercase_word_ratio,-0.0012612142507122503,0.0019213234747130332
model_key,text_semicolon_density,-0.003135924240781074,0.0025150182419332767
