target,feature,importance,importance_kind
language,text_hedge_word_count,0.16560463162562303,feature_importances
language,text_hedge_word_density,0.14936384561750696,feature_importances
language,text_first_person_pronoun_density,0.14157210752724322,feature_importances
language,text_first_person_pronoun_count,0.10491972304692444,feature_importances
language,text_avg_word_length,0.09255051847380537,feature_importances
language,text_second_person_pronoun_density,0.05651776502063648,feature_importances
language,text_second_person_pronoun_count,0.04378849215111409,feature_importances
language,text_comma_density,0.03666495902437661,feature_importances
language,text_max_word_frequency,0.0219181889094861,feature_importances
language,text_semicolon_density,0.018673834228829102,feature_importances
language,text_negation_word_density,0.015422858669690044,feature_importances
language,text_unique_word_count,0.011411691944311369,feature_importances
language,text_avg_sentence_words,0.009968338003522353,feature_importances
language,text_word_count,0.009855146361271822,feature_importances
language,text_entropy,0.009161080212098357,feature_importances
language,text_type_token_ratio,0.008904008087390856,feature_importances
language,text_char_count,0.008311489770011248,feature_importances
language,text_avg_word_frequency,0.008265236032880381,feature_importances
language,source_response_length,0.008183383234478649,feature_importances
language,text_hapax_ratio,0.007632391928221111,feature_importances
language,text_repeated_bigram_ratio,0.0075347315568364374,feature_importances
language,text_repetition_rate,0.007368403728946636,feature_importances
language,text_repeated_trigram_ratio,0.00728003650861583,feature_importances
language,text_punctuation_density,0.007094237025255353,feature_importances
language,text_newline_count,0.005503173748652465,feature_importances
language,text_negation_word_count,0.0048987071516716245,feature_importances
language,text_avg_sentence_chars,0.004851779426377378,feature_importances
language,text_colon_density,0.004688146291718259,feature_importances
language,text_sentence_count,0.004476559145848099,feature_importances
language,text_punctuation_count,0.00428801749450209,feature_importances
language,text_paragraph_count,0.004181428570090431,feature_importances
language,text_list_marker_count,0.003822329927340628,feature_importances
language,text_digit_density,0.0028400436502132006,feature_importances
language,text_exclamation_mark_density,0.001056004191734455,feature_importances
language,text_uppercase_word_ratio,0.0009952303751966565,feature_importances
language,text_code_fence_count,0.00043148133757882676,feature_importances
